Feature,Lasso Importance,Ridge Importance,Random Forest Importance
area3,0.0,0.4792801729332672,0.1538923646320539
concave_points3,0.4288344810001039,0.4478887034639073,0.14466326620735526
concave_points1,0.9974512140255629,0.4793290503689451,0.10620998844591636
radius3,2.0609462436390413,0.4976507048041589,0.07798687515738044
concavity1,0.0,0.37856220377889205,0.06800084191430111
perimeter3,0.0,0.44256477225835594,0.06711483267839193
perimeter1,0.0,0.34749774199908323,0.05326974612817967
radius1,0.0,0.3574027333939839,0.04870337173775524
area1,0.0,0.3745501806475803,0.047555008860185516
concavity3,0.07798070712014014,0.39954273087784703,0.031801595740040434
area2,0.0,0.39492085158554247,0.02240696016045847
texture3,0.6947731521369436,0.5800953780531715,0.021749011006763203
compactness3,0.0,0.14069316109951668,0.020266035899623565
radius2,0.21074926483568318,0.4945520701505792,0.020138917194191527
compactness1,0.0,0.024753752067006946,0.013944325074050483
texture1,0.0,0.3985983478365311,0.01359087765699847
perimeter2,0.0,0.35254843216103504,0.011303013881784348
smoothness3,0.17672877819570856,0.3816064427198554,0.01064420514728095
symmetry3,0.24405057094673166,0.46896560399769904,0.010120176131974351
concavity2,0.0,0.07327813139148319,0.009385832251596626
smoothness1,0.0,0.12521695400888114,0.007285327830663237
fractal_dimension2,0.0,0.24562247070608098,0.005321456342228841
compactness2,0.0,0.2680734826424658,0.0052532155389901055
fractal_dimension3,0.0,0.11858824266756927,0.0052101185454972955
texture2,0.0,0.029907241978112682,0.004723988073894701
smoothness2,0.0,0.08473517130390243,0.004270910110504496
symmetry2,0.0,0.14636136640822414,0.004018418617722808
fractal_dimension1,0.0,0.1603514713577275,0.0038857721093274998
symmetry1,0.0,0.028114831216316208,0.0037702918192906655
concave_points2,0.0,0.07086033285799487,0.0035132551055985064
